CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.9215, 0.9415, "2.01085+-1.8003*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.9415, 0.9545, "2.62648+-2.45418*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.9545, 0.9675, "1.54258+-1.31862*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.9675, 0.9805, "1.25551+-1.02191*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.9805, 0.9985, "1.01231+-0.773871*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.9985, 1.1, "0.2396"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, -15, 0, "0.00443729"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0, 0.12, "0"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.12, 0.35, "-0.691045+5.75871*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.35, 0.494, "0.854766+1.34211*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.494, 0.562, "-1.48498+6.07844*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.562, 0.63, "3.51187+-2.81276*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.63, 0.698, "0.680729+1.68112*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.698, 0.766, "-2.17282+5.7693*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.766, 0.8135, "6.16469+-5.11518*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.8135, 0.8405, "0.18088+2.24046*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.8405, 0.8675, "-4.74637+8.10274*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.8675, 0.8945, "0.812827+1.69444*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.8945, 0.9215, "2.9515+-0.696469*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.9215, 0.9415, "-1.66946+4.31814*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.9415, 0.9545, "-3.14609+5.88651*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.9545, 0.9675, "-0.546304+3.1628*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.9675, 0.9805, "0.14226+2.45111*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.9805, 0.9985, "0.72559+1.85618*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.9985, 1.1, "2.57898"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, -15, 0, "1.03117"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0, 0.12, "1.81403"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.12, 0.35, "2.32731+-4.2774*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.35, 0.494, "2.84813+-5.76546*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.494, 0.562, "-1.03783+2.10086*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.562, 0.63, "-5.85484+10.6721*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.63, 0.698, "0.491341+0.598758*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.698, 0.766, "0.299362+0.8738*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.766, 0.8135, "-0.673055+2.14327*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.8135, 0.8405, "-0.498174+1.9283*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.8405, 0.8675, "-2.11559+3.85265*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.8675, 0.8945, "-1.21585+2.81549*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.8945, 0.9215, "-0.348906+1.84629*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.9215, 0.9415, "-2.53165+4.21497*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.9415, 0.9545, "-3.76563+5.52563*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.9545, 0.9675, "-2.46717+4.16527*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.9675, 0.9805, "-2.2267+3.91673*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.9805, 0.9985, "-2.20891+3.89858*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.9985, 1.1, "1.68383"
3, iterativefit, down_cferr2, 1, 0.0, 2.4, 20, 30, -15, 0, "0.949696"
3, iterativefit, down_cferr2, 1, 0.0, 2.4, 20, 30, 0, 0.12, "0.228687"
3, iterativefit, down_cferr2, 1, 0.0, 2.4, 20, 30, 0.12, 0.35, "-0.244047+3.93945*x"
3, iterativefit, down_cferr2, 1, 0.0, 2.4, 20, 30, 0.35, 0.494, "-1.97238+8.87753*x"
3, iterativefit, down_cferr2, 1, 0.0, 2.4, 20, 30, 0.494, 0.562, "7.10108+-9.48978*x"
